ProductName,SKU,PrimaryBinLocation,PrimaryBinQuantity,SecondaryBinLocation,SecondaryBinQuantity,NumberOnHand,NumberAvailable
Luxury Seller Notebook – Christie's International Real Estate GE242-01 (deactivated),GE242-01,,0,0,0,0,0
Luxury Keychain – Christie's International Real Estate GE243-01(deactivated),GE243-01,,0,0,0,0,0
Affiliate General Small Notepads FR118-01,FR118-01,,0,0,0,0,0
Christie's International Real Estate Local Luxury Presentation Insert LU101-01,LU101-01,,0,0,0,0,0
Affiliate Seller Presentation Folio Camel FR183-01,FR183-01,,0,0,0,0,0
Affiliate Seller Presentation Folio Black FR184-01,FR184-01,,0,0,0,0,0
Bronzeville #10 Office Envelopes BV101-01,BV101-01,,0,0,0,0,0
Bronzeville A6 Notecard Envelopes BV102-01,BV102-01,,0,0,0,0,0
Welcome To Our World Box (Empty) CIRE999-01,CIRE999-01,,0,0,0,0,0
Social Society Box (Empty) SS999-01,SS999-01,,0,0,0,0,0
Post Sign Frame Christie's International Real Estate (3 pieces) GE116-01,GE116-01,,0,0,0,0,0
Post Sign Crossbar Christie's International Real Estate (1 piece) GE115-01,GE115-01,,0,0,0,0,0
Christie's International Real Estate Marketing Brochure CIRE197-01,CIRE197-01,,0,0,0,0,0
Christie's Auction House Brochure CIRE199-01,CIRE199-01,,0,0,0,0,0
Christie's International Real Estate Technology Brochure CIRE196-01,CIRE196-01,,0,0,0,0,0
Christie's International Real Estate French Door Box CIRE198-01,CIRE198-01,,0,0,0,0,0
Christie's International Real Estate 3-Brochure Recruiting Kit CIRE200-01,CIRE200-01,,0,0,0,0,0
Christie's International Real Estate 2-Brochure Recruiting Kit CIRE201-01,CIRE201-01,,0,0,0,0,0
CIRE Auction House Booklet CIRE195-01,CIRE195-01,,0,0,0,0,0
Birthday Card and Envelope Set (2025-2026) GE159-05,GE159-05,,0,0,0,0,0
Christie's International Real Estate Birthday Card and Envelope Set (2025-2026) CIRE159-03,CIRE159-03,,0,0,0,0,0
Affiliate Buyer Portfolio Kit (@|CIRE) FRKT01-02,FRKT01-02,,0,0,0,0,0
Affiliate Stylus Pens FR120-01,FR120-01,,0,0,0,0,0
Affiliate Pocket Folder White FR188-02,FR188-02,,0,0,0,0,0
Affiliate Pocket Folder Black FR188-01,FR188-01,,0,0,0,0,0
New Agent Gift GE189-01,GE189-01,,0,0,0,0,0
Affiliate General Large Notepads FR117-01,FR117-01,,0,0,0,0,0
Affiliate Flat Notecard FR187-03,FR187-03,,0,0,0,0,0
Listing Presentation Book GE192-05 (Deactivated),GE192-05,,0,0,0,0,0
Affilliate Post-It Notes FR119-02,FR119-02,,0,0,0,0,0
Goose Island #10 Office Envelopes with window RP101-04,RP101-04,,0,0,0,0,0
2024-2025 Birthday Gift GE168-05,GE168-05,,0,0,0,0,0
Affiliate Love Keychains - FR191-02,FR191-02,,0,0,0,0,0
@propertiers Christie's International Real Estate Buyer Sleeve GE138-01,GE138-01,,0,0,0,0,0
Christie's International Real Estate Large Presentation Sleeve CIRE138-02,CIRE138-02,,0,0,0,0,0
Christie's International Real Estate Small Presentation Sleeve CIRE138-03,CIRE138-03,,0,0,0,0,0
Buyer Presentation Kit GE138-06,GE138-06,,0,0,0,0,0
Buyer Book GE138-07,GE138-07,,0,0,0,0,0
"Spotted"" Black @ 5.5"" Magnet GE121-08""",GE121-08,,0,0,0,0,0
"Spotted"" White @ 5.5"" Magnet GE121-07""",GE121-07,,0,0,0,0,0
One Page Listing Presentation Insert-SW Michigan Luxury GE218-02,GE218-02,,0,0,0,0,0
2025 Masters Circle Card Sets CIRE170-01,CIRE170-01,,0,0,0,0,0
Christie's International Real Estate Brand Book CIRE180-01,CIRE180-01,,0,0,0,0,0
Expo Love Note Card Sets GE157-02,GE157-02,,0,0,0,0,0
Buyer Presentation Kit Bubble Mailer GE138-10,GE138-10,,0,0,0,0,0
2025-2026 Birthday Gift GE168-06,GE168-06,,0,0,0,0,0
Christie's International Real Estate Blanket CIRE105-01,CIRE105-01,,0,0,0,0,0
Christie's International Real Estate Empty Blanket Boxes CIRE105-02,CIRE105-02,,0,0,0,0,0
Moving Bags Gift Set GE169-01,GE169-01,,0,0,0,0,0
Christie's International Real Estate Listing Presentation Book CIRE193-02,CIRE193-02,,0,0,0,0,0
Christie's International Real Estate Buyer Book CIRE193-05,CIRE193-05,,0,0,0,0,0
Listing Presentation Book GE192-07,GE192-07,,0,0,0,0,0
Listing Presentation Kit GE192-08,GE192-08,,0,0,0,0,0
Christie's International Real Estate Listing Presentation Kit GE242-04,GE242-04,,0,0,0,0,0
Christie's International Real Estate Buyer Presentation Kit GE242-02,GE242-02,,0,0,0,0,0
Bronzeville Mailing Labels BV105-01,BV105-01,,0,0,0,0,0
Affiliate Black Sleeve FR138-03,FR183-03,,0,0,0,0,0
